method,parameter,dataset,accuracy,total_time,final_nodes,compression_ratio,notes
cmg,level_1,cora,0.789,117.996,1003,2.69,completed
cmg,level_2,cora,0.761,40.709,412,6.57,completed
cmg,level_3,cora,0.737,18.002,241,11.23,completed
cmg,level_4,cora,0.665,12.651,187,14.48,completed
cmg,level_5,cora,0.534,10.895,167,16.21,completed
cmg,level_6,cora,0.207,10.410,161,16.81,completed
lamg,ratio_2,cora,0.792,143.256,1169,2.31,completed
lamg,ratio_3,cora,0.801,55.414,519,5.21,completed
lamg,ratio_4,cora,0.799,55.357,519,5.21,completed
lamg,ratio_5,cora,0.802,55.126,519,5.21,completed
lamg,ratio_6,cora,0.803,16.495,218,12.42,completed
simple,level_1,cora,0.777,207.285,1724,1.57,completed
simple,level_2,cora,0.763,153.662,1261,2.14,completed
simple,level_3,cora,0.747,108.688,955,2.83,completed
simple,level_4,cora,0.73,78.606,753,3.59,completed
simple,level_5,cora,0.727,55.719,604,4.48,completed
simple,level_6,cora,0.704,41.065,495,5.47,completed
