method,graphzoom_level,dataset,accuracy,total_time,final_nodes,compression_ratio,notes
cmg,1,cora,0.766,107.453,927,2.92,completed
cmg,2,cora,0.741,38.935,398,6.80,completed
cmg,3,cora,0.714,18.485,253,10.70,completed
cmg,4,cora,0.686,13.082,200,13.54,completed
cmg,5,cora,0.611,10.936,177,15.29,completed
cmg,6,cora,0.375,9.789,164,16.51,completed
lamg,1,cora,0.791,144.480,1169,2.31,completed
lamg,2,cora,0.802,55.538,519,5.21,completed
lamg,3,cora,0.797,55.668,519,5.21,completed
lamg,4,cora,0.803,55.021,519,5.21,completed
lamg,5,cora,0.793,16.768,218,12.42,completed
lamg,6,cora,0.796,16.690,218,12.42,completed
simple,1,cora,0.788,210.238,1724,1.57,completed
simple,2,cora,0.769,154.273,1261,2.14,completed
simple,3,cora,0.743,107.416,955,2.83,completed
simple,4,cora,0.739,78.082,753,3.59,completed
simple,5,cora,0.731,55.631,604,4.48,completed
simple,6,cora,0.705,41.772,495,5.47,completed
