dataset,method,fusion,status,level,reduce_ratio_param,original_nodes,original_edges,original_components,fused_nodes,fused_edges,fused_components,fusion_time,final_nodes,final_edges,final_components,actual_level,reduction_ratio,reduce_time,embed_time,refine_time,accuracy,total_time
cora,cmg,True,completed,1.0,,2708,5278,78,2708,6058,78,0.6193273067474365,1016,2428,78,1,2.6653543307086616,0.3390471935272217,29.009764909744263,0.013469457626342773,0.762,30.304733514785767
cora,cmg,True,completed,2.0,,2708,5278,78,2708,6058,78,0.6209056377410889,421,1264,78,2,6.432304038004751,0.5296335220336914,10.04188060760498,0.014115571975708008,0.768,11.598742246627808
cora,cmg,True,completed,3.0,,2708,5278,78,2708,6058,78,0.5501384735107422,253,705,78,3,10.703557312252965,0.5098025798797607,5.433647394180298,0.018026351928710938,0.749,6.892346382141113
cora,cmg,False,completed,1.0,,2708,5278,78,2708,5278,78,0.0,941,2227,78,1,2.87778958554729,0.308225154876709,26.01962399482727,0.006010532379150391,0.762,26.639671087265015
cora,cmg,False,completed,2.0,,2708,5278,78,2708,5278,78,0.0,403,1193,78,2,6.719602977667494,0.42191529273986816,9.680469036102295,0.010448455810546875,0.772,10.429974555969238
cora,cmg,False,completed,3.0,,2708,5278,78,2708,5278,78,0.0,254,732,78,3,10.661417322834646,0.4790773391723633,5.237827301025391,0.011333942413330078,0.744,6.031368970870972
cora,lamg,True,completed,,2.0,2708,5278,78,2708,8211,6,5.590793609619141,1169,3938,6,1,2.316509837467921,5.010044813156128,32.2805016040802,0.019677400588989258,0.798,43.31015729904175
cora,lamg,True,completed,,3.0,2708,5278,78,2708,8211,6,5.463534116744995,519,1985,3,2,5.217726396917149,4.837109804153442,14.142846584320068,0.012589454650878906,0.804,24.862318992614746
cora,lamg,True,completed,,6.0,2708,5278,78,2708,8211,6,5.604381799697876,218,979,3,3,12.422018348623853,4.859348297119141,5.251330137252808,0.017259836196899414,0.784,16.131652355194092
cora,lamg,False,completed,,2.0,2708,5278,78,2708,5278,78,0.0,1208,2639,78,1,2.2417218543046356,4.764507293701172,31.614686489105225,0.010915040969848633,0.762,36.70140862464905
cora,lamg,False,completed,,3.0,2708,5278,78,2708,5278,78,0.0,531,1504,15,2,5.0998116760828625,5.131469011306763,14.164589405059814,0.01651620864868164,0.773,19.64887237548828
cora,lamg,False,completed,,6.0,2708,5278,78,2708,5278,78,0.0,227,881,4,3,11.929515418502202,5.269262313842773,5.551993131637573,0.015833139419555664,0.78,11.170265197753906
cora,simple,True,completed,1.0,,2708,5278,78,2708,6664,78,0.6424379348754883,1724,3985,78,1,1.5707656612529002,0.20109200477600098,52.1391236782074,0.013187408447265625,0.765,53.43329668045044
cora,simple,True,completed,2.0,,2708,5278,78,2708,6664,78,0.6490826606750488,1261,2936,78,2,2.147501982553529,0.2818112373352051,38.648686170578,0.016564130783081055,0.769,40.03238344192505
cora,simple,True,completed,3.0,,2708,5278,78,2708,6664,78,0.6348440647125244,955,2297,78,3,2.8356020942408375,0.33596014976501465,28.429197072982788,0.023647069931030273,0.754,29.865466594696045
cora,simple,False,completed,1.0,,2708,5278,78,2708,5278,78,0.0,1966,3849,78,1,1.377416073245168,0.2033214569091797,59.86826729774475,0.008301258087158203,0.752,60.43346881866455
cora,simple,False,completed,2.0,,2708,5278,78,2708,5278,78,0.0,1538,3066,78,2,1.7607282184655397,0.3545515537261963,48.18371295928955,0.017719030380249023,0.75,49.107638359069824
cora,simple,False,completed,3.0,,2708,5278,78,2708,5278,78,0.0,1232,2559,78,3,2.198051948051948,0.332505464553833,39.47843599319458,0.01685166358947754,0.786,40.18915057182312
citeseer,cmg,True,completed,1.0,,3327,4528,438,3327,5325,438,1.0073530673980713,1638,2051,438,1,2.031135531135531,0.5444552898406982,37.45432925224304,0.00743412971496582,0.503,39.43165922164917
citeseer,cmg,True,completed,2.0,,3327,4528,438,3327,5325,438,0.8473398685455322,1099,1128,438,2,3.02729754322111,0.6023707389831543,21.842090129852295,0.012910604476928711,0.507,23.70055079460144
citeseer,cmg,True,completed,3.0,,3327,4528,438,3327,5325,438,0.7587151527404785,923,748,438,3,3.6045503791982667,0.7831370830535889,17.955687284469604,0.01608872413635254,0.507,19.926724672317505
citeseer,cmg,False,completed,1.0,,3327,4528,438,3327,4528,438,0.0,1589,1970,438,1,2.093769666456891,0.41763830184936523,35.65322732925415,0.006672382354736328,0.513,36.37606382369995
citeseer,cmg,False,completed,2.0,,3327,4528,438,3327,4528,438,0.0,1098,1135,438,2,3.030054644808743,0.5681445598602295,22.60190463066101,0.011990547180175781,0.533,23.4840407371521
citeseer,cmg,False,completed,3.0,,3327,4528,438,3327,4528,438,0.0,918,708,438,3,3.6241830065359477,0.8312430381774902,18.452815055847168,0.015206336975097656,0.525,19.633846282958984
citeseer,lamg,True,completed,,2.0,3327,4528,438,3327,6668,424,17.211634635925293,1488,2800,377,1,2.2358870967741935,4.921077013015747,31.83591938018799,0.008644819259643555,0.482,54.4931001663208
citeseer,lamg,True,completed,,3.0,3327,4528,438,3327,6668,424,14.884805917739868,606,1365,79,2,5.49009900990099,4.966087102890015,13.53762412071228,0.013334989547729492,0.529,33.826884269714355
