dataset,method,fusion,status,level,reduce_ratio_param,original_nodes,original_edges,original_components,fused_nodes,fused_edges,fused_components,fusion_time,final_nodes,final_edges,final_components,actual_level,reduction_ratio,reduce_time,embed_time,refine_time,accuracy,total_time
cora,cmg,True,completed,1.0,,2708,5278,78,2708,6058,78,0.5760078430175781,1016,2428,78,1,2.6653543307086616,0.31801366806030273,27.98569655418396,0.012481451034545898,0.749,29.183429479599
cora,cmg,True,completed,2.0,,2708,5278,78,2708,6058,78,0.5264370441436768,421,1264,78,2,6.432304038004751,0.420717716217041,9.666476249694824,0.009384870529174805,0.769,11.000649690628052
cora,cmg,True,completed,3.0,,2708,5278,78,2708,6058,78,0.5140163898468018,253,705,78,3,10.703557312252965,0.4429359436035156,5.160847902297974,0.011758804321289062,0.747,6.5225560665130615
cora,cmg,False,completed,1.0,,2708,5278,78,2708,5278,78,0.0,941,2227,78,1,2.87778958554729,0.27959704399108887,24.378470420837402,0.00620579719543457,0.765,24.974508047103882
cora,cmg,False,completed,2.0,,2708,5278,78,2708,5278,78,0.0,403,1193,78,2,6.719602977667494,0.3990299701690674,9.408006429672241,0.009088754653930664,0.787,10.120971441268921
cora,cmg,False,completed,3.0,,2708,5278,78,2708,5278,78,0.0,254,732,78,3,10.661417322834646,0.4707932472229004,5.344115495681763,0.010567903518676758,0.74,6.140547037124634
cora,lamg,True,completed,,2.0,2708,5278,78,2708,7761,7,0.4915900230407715,227,881,4,3,11.929515418502202,0.10956740379333496,5.2764732837677,0.012661218643188477,0.783,6.3415186405181885
cora,lamg,True,completed,,3.0,2708,5278,78,2708,7761,7,0.4738638401031494,227,881,4,3,11.929515418502202,0.1040639877319336,5.5124266147613525,0.012773752212524414,0.788,6.520689249038696
cora,lamg,True,completed,,6.0,2708,5278,78,2708,7761,7,0.5288748741149902,227,881,4,3,11.929515418502202,0.10474514961242676,5.225836992263794,0.012824773788452148,0.786,6.289621829986572
cora,lamg,False,completed,,2.0,2708,5278,78,2708,5278,78,0.0,227,881,4,3,11.929515418502202,0.01123046875,5.265297174453735,0.011538505554199219,0.783,5.598124265670776
cora,lamg,False,completed,,3.0,2708,5278,78,2708,5278,78,0.0,227,881,4,3,11.929515418502202,0.011668682098388672,5.164677619934082,0.010896444320678711,0.784,5.4931800365448
cora,lamg,False,completed,,6.0,2708,5278,78,2708,5278,78,0.0,227,881,4,3,11.929515418502202,0.011073827743530273,5.151630640029907,0.01101827621459961,0.783,5.486518859863281
cora,simple,True,completed,1.0,,2708,5278,78,2708,6664,78,0.559948205947876,1724,3985,78,1,1.5707656612529002,0.16637468338012695,50.20268535614014,0.01091766357421875,0.776,51.406086444854736
cora,simple,True,completed,2.0,,2708,5278,78,2708,6664,78,0.5456788539886475,1261,2936,78,2,2.147501982553529,0.23804712295532227,35.27597713470459,0.015010833740234375,0.772,36.47117066383362
cora,simple,True,completed,3.0,,2708,5278,78,2708,6664,78,0.5657265186309814,955,2297,78,3,2.8356020942408375,0.2970716953277588,25.769240140914917,0.018830537796020508,0.76,27.072967529296875
cora,simple,False,completed,1.0,,2708,5278,78,2708,5278,78,0.0,1966,3849,78,1,1.377416073245168,0.15585780143737793,55.576338052749634,0.0072209835052490234,0.771,56.051246881484985
cora,simple,False,completed,2.0,,2708,5278,78,2708,5278,78,0.0,1538,3066,78,2,1.7607282184655397,0.2253875732421875,42.48122596740723,0.012279272079467773,0.765,43.02570939064026
cora,simple,False,completed,3.0,,2708,5278,78,2708,5278,78,0.0,1232,2559,78,3,2.198051948051948,0.27226853370666504,37.78353762626648,0.01902914047241211,0.783,38.38844633102417
citeseer,cmg,True,completed,1.0,,3327,4528,438,3327,5325,438,1.0384531021118164,1638,2051,438,1,2.031135531135531,0.4931061267852783,39.95623970031738,0.007378578186035156,0.5,41.95900630950928
citeseer,cmg,True,completed,2.0,,3327,4528,438,3327,5325,438,0.8966147899627686,1099,1128,438,2,3.02729754322111,0.675457239151001,23.427534818649292,0.011429786682128906,0.5,25.425918102264404
citeseer,cmg,True,completed,3.0,,3327,4528,438,3327,5325,438,0.8681168556213379,923,748,438,3,3.6045503791982667,0.9080202579498291,17.657774209976196,0.0178375244140625,0.527,19.912004470825195
citeseer,cmg,False,completed,1.0,,3327,4528,438,3327,4528,438,0.0,1589,1970,438,1,2.093769666456891,0.48638439178466797,37.72528386116028,0.008348941802978516,0.508,38.54762840270996
citeseer,cmg,False,completed,2.0,,3327,4528,438,3327,4528,438,0.0,1098,1135,438,2,3.030054644808743,0.7595725059509277,24.916314363479614,0.014490365982055664,0.517,26.030063152313232
citeseer,cmg,False,completed,3.0,,3327,4528,438,3327,4528,438,0.0,918,708,438,3,3.6241830065359477,0.8909103870391846,18.85719609260559,0.017592191696166992,0.503,20.155148029327393
